year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2008,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,450899.8422
2008,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,170832.6949
2008,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,25201726.29
2008,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9671917.357
2008,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,2629962.098
2008,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,353371.2702
2008,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1173142.937
2008,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5420945.977
2008,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1614355.881
2008,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,686911.5565
2008,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,2561474.012
2008,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,848857.5219
2008,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,1953654.368
2009,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3529766.678
2009,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63642.53082
2009,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65873.28353
2009,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,248725.8568
2009,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2009,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2009,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,336976.2561
2009,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1863022.168
2009,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,292845.2714
2009,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87784.07012
2009,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,263360.7424
2009,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9350670.822
2009,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,981284.9492
2009,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7589213.385
2009,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6480118.189
2009,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3860763.16
2009,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,243206.2235
